session_id,order_id,success_rate,timestamp
session_001,ord_12345,0.45,2024-01-15T10:30:00Z
session_002,ord_12346,0.52,2024-01-15T10:32:15Z
session_003,,0.61,2024-01-15T10:35:22Z
session_004,ord_12347,0.68,2024-01-15T10:38:45Z
session_005,ord_12348,0.72,2024-01-15T10:42:10Z
session_006,,0.75,2024-01-15T10:45:30Z
session_007,ord_12349,0.78,2024-01-15T10:48:20Z
session_008,ord_12350,0.81,2024-01-15T10:51:45Z
session_009,,0.83,2024-01-15T10:55:12Z
session_010,ord_12351,0.85,2024-01-15T10:58:30Z
session_011,ord_12352,0.87,2024-01-15T11:02:15Z
session_012,,0.88,2024-01-15T11:05:45Z
session_013,ord_12353,0.89,2024-01-15T11:09:20Z
session_014,ord_12354,0.90,2024-01-15T11:12:55Z
session_015,,0.91,2024-01-15T11:16:30Z
session_016,ord_12355,0.92,2024-01-15T11:20:10Z
session_017,ord_12356,0.92,2024-01-15T11:23:45Z
session_018,,0.93,2024-01-15T11:27:20Z
session_019,ord_12357,0.93,2024-01-15T11:30:55Z
session_020,ord_12358,0.94,2024-01-15T11:34:30Z